Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",DR,Demand Response,PT,824,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"4,120,393",,0,,0,,0,,0,,0,,0,,0,,"4,120,393",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,Bus,DO,"1,779",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"324,730",,"413,325",,"189,441",,"15,407,281",,"4,157,598",,"644,056",,"613,284",,"4,813,568",,0,,0,,"26,563,283",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",YR,Hybrid Rail,PT,16,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"6,351",,0,,0,,0,,0,,0,,0,,"2,383,890",,0,,0,,"2,390,241",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",DR,Demand Response,PT,340,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,152,667",,0,,0,,0,,0,,0,,"1,152,667",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,Light Rail,PT,42,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"19,567,282",,0,,0,,"9,021,937",,"6,631,142",,0,,0,,"423,954",,0,,0,,"35,644,315",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",MB,Bus,PT,182,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"227,440",,0,,0,,0,,0,,0,,"227,440",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",CR,Commuter Rail,DO,865,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"277,053,254",,"41,119,742",,"492,066",,"5,510,908",,"27,409,527",,"94,705,860",,"3,412,849",,"28,902,641",,0,,0,,"478,606,847",
New Jersey Transit Corporation,Newark,NJ,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","3,289",LR,Light Rail,DO,15,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"6,090,572",,"14,306",,0,,"7,281",,"884,166",,0,,0,,"759,022",,0,,0,,"7,755,347",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",DR,Demand Response,PT,662,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,407,352",,0,,0,,0,,0,,0,,"1,407,352",
"Delaware, Dubuque & Jackson County Regional Transi",Dubuque,IA,70136,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,17,DR,Demand Response,DO,17,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"313,013",,"313,013",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",MB,Bus,DO,"1,096",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"1,002,411",,0,,"4,612,810",,"56,898,443",,"119,082,137",,0,,0,,0,,0,,0,,"181,595,801",
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,92242,"Washington--Arlington, DC--VA--MD","5,174,759","2,807",HR,Heavy Rail,DO,998,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"334,720,093",,"538,686,299",,"338,739,522",,"77,890,861",,"122,794,983",,"10,586,708",,"75,359,403",,"242,749,789",,0,,0,,"1,741,527,658",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",HR,Heavy Rail,DO,64,Uses of Capital (F-20) - Expansion of Service,"654,844,862",,"31,141",,0,,0,,0,,0,,0,,0,,0,,0,,"654,876,003",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",LR,Light Rail,DO,148,Uses of Capital (F-20) - Expansion of Service,"611,624,575",,"10,003,022",,"17,250,758",,"18,008",,"26,661,116",,"241,910",,"14,733",,"2,657,326",,0,,0,,"668,471,448",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,Bus,DO,"1,421",Uses of Capital (F-20) - Expansion of Service,0,,"53,899",,0,,"3,500,000",,0,,0,,0,,0,,0,,0,,"3,553,899",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",RB,Bus Rapid Transit,DO,24,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"8,334,759",,0,,0,,"93,497",,"4,998,899",,0,,0,,0,,0,,0,,"13,427,155",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",HR,Heavy Rail,DO,64,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"163,545,042",,0,,"974,619",,"7,248,368",,0,,0,,"927,093",,0,,0,,"172,695,122",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",LR,Light Rail,DO,148,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"1,681,662",,"24,211,943",,0,,"2,900,230",,"26,708,851",,0,,"1,931,968",,"3,536,039",,0,,0,,"60,970,693",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,Bus,DO,"1,421",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"4,380,539",,"117,543",,"7,549,689",,"100,133,461",,"4,558,347",,"188,290",,"19,576,082",,0,,0,,"136,503,951",
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","2,180",HR,Heavy Rail,DO,906,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"259,888,032",,"49,433,042",,0,,"17,200,364",,"138,538,681",,"1,199,161",,"79,288",,"2,813,142",,0,,0,,"469,151,710",
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","2,180",HR,Heavy Rail,DO,906,Uses of Capital (F-20) - Expansion of Service,"29,424,411",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"29,424,411",
Chicago Transit Authority,Chicago,IL,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","2,180",MB,Bus,DO,"1,274",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"1,277,950",,"8,016,452",,"123,771,016",,0,,"12,888,538",,"2,760,159",,0,,0,,"148,714,115",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",FB,Ferryboat,DO,2,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"144,345",,0,,0,,0,,0,,0,,0,,0,,0,,"144,345",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,Bus,DO,793,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"1,879,761",,0,,"139,735",,"38,014,354",,"29,776,892",,"2,328,024",,"23,126",,"22,179,717",,"13,678,340",,0,,"108,019,949",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",TB,Trolleybus,DO,117,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"5,027,015",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"5,027,015",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",DR,Demand Response,PT,217,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"5,426,122",,0,,0,,0,,0,,0,,"5,426,122",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",MB,Bus,DO,793,Uses of Capital (F-20) - Expansion of Service,0,,0,,"390,943",,"12,280,827",,"982,349",,0,,0,,0,,"33,909,841",,0,,"47,563,960",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",TB,Trolleybus,DO,117,Uses of Capital (F-20) - Expansion of Service,"189,016",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"189,016",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",CR,Commuter Rail,DO,45,Uses of Capital (F-20) - Expansion of Service,"570,132",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"570,132",
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,80389,"Seattle--Tacoma, WA","3,544,011","2,029",VP,Vanpool,DO,745,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"147,017",,0,,0,,0,,0,,0,,"147,017",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",FB,Ferryboat,PT,8,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"796,618",,0,,0,,"124,523",,0,,0,,0,,0,,0,,"921,141",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",LR,Light Rail,DO,124,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"70,146,482",,"19,063,589",,0,,"2,222,024",,"19,993,972",,0,,0,,"806,919",,0,,0,,"112,232,986",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",CR,Commuter Rail,PT,416,Uses of Capital (F-20) - Expansion of Service,"221,943,951",,"7,816,227",,0,,0,,"15,503,285",,0,,0,,0,,"78,088",,0,,"245,341,551",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",DR,Demand Response,PT,372,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"3,354,106",,0,,0,,"645,842",,0,,0,,"3,999,948",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",LR,Light Rail,DO,124,Uses of Capital (F-20) - Expansion of Service,"239,968,523",,0,,0,,0,,"7,389,261",,0,,0,,0,,0,,0,,"247,357,784",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",HR,Heavy Rail,DO,312,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,"142,049",,0,,"142,049",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",RB,Bus Rapid Transit,DO,37,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"3,270,680",,"36,532,619",,"56,720",,"55,515,710",,"24,211,239",,0,,0,,"1,535,846",,"192,743",,0,,"121,315,557",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",CR,Commuter Rail,PT,416,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"233,983,811",,"36,353,977",,"6,619,852",,"14,068,878",,"105,514,726",,"763,418",,0,,"1,821,108",,"1,535,820",,0,,"400,661,590",
Massachusetts Bay Transportation Authority,Boston,MA,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,9271,"Boston, MA--NH","4,382,009","2,018",HR,Heavy Rail,DO,312,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"189,426,584",,"81,634,074",,"3,222,169",,"51,332,069",,"46,021,209",,"5,097,337",,"37,522,852",,"24,607,878",,"24,005,614",,0,,"462,869,786",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",HR,Heavy Rail,DO,238,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"20,358,833",,"17,064,160",,"50,217",,"4,056,747",,"25,332,805",,"1,172,935",,"4,898,639",,"14,996,662",,0,,0,,"87,930,998",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",SR,Streetcar Rail,DO,92,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"10,615,635",,"229,905",,"10,049",,0,,"9,726,600",,"450,352",,"980,225",,0,,0,,0,,"22,012,766",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",CR,Commuter Rail,DO,277,Uses of Capital (F-20) - Expansion of Service,"35,875,872",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"35,875,872",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",HR,Heavy Rail,DO,238,Uses of Capital (F-20) - Expansion of Service,"22,077,019",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"22,077,019",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",MB,Bus,DO,"1,089",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"145,491",,0,,"23,868",,"18,289,785",,"28,907,734",,"1,338,458",,"2,328,331",,"1,253,306",,0,,0,,"52,286,973",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",TB,Trolleybus,DO,29,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"152,519",,0,,0,,0,,0,,0,,"7,112",,0,,0,,0,,"159,631",
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69076,"Philadelphia, PA--NJ--DE--MD","5,696,125","1,962",CR,Commuter Rail,DO,277,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"65,238,475",,"42,795,954",,"89,902",,"785,177",,"19,477,924",,"901,848",,"8,762,723",,"22,855,387",,0,,0,,"160,907,390",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",DR,Demand Response,PT,398,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"109,762",,"336,512",,"4,519,459",,"51,287",,0,,"502,146",,0,,0,,"5,519,166",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",LR,Light Rail,DO,17,Uses of Capital (F-20) - Expansion of Service,"579,399,524",,"88,694,525",,0,,0,,"14,767,397",,0,,0,,"3,346,054",,0,,0,,"686,207,500",
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,00008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,71317,"Portland, OR--WA","2,104,238",753,LR,Light Rail,DO,94,Uses of Capital (F-20) - Expansion of Service,"924,870",,"687,680",,0,,"5,022,124",,0,,0,,0,,0,,0,,0,,"6,634,674",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",MB,Bus,DO,627,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"1,009,753",,"582,345",,"4,502,982",,"35,034,560",,"48,245,208",,"2,924,358",,"9,824,586",,"3,967,821",,"5,122,609",,0,,"111,214,222",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",CR,Commuter Rail,PT,149,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"3,875,265",,"877,990",,"367,813",,"12,564,571",,"15,567,742",,"123,412",,0,,"123,845",,0,,0,,"33,500,638",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",HR,Heavy Rail,DO,42,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"37,881,503",,"19,774,612",,"1,355,901",,"6,055,412",,"22,098,752",,"223,057",,"3,409,772",,"2,230,985",,0,,0,,"93,029,994",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",LR,Light Rail,DO,17,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"31,554,082",,"7,049,732",,"812,057",,"4,592,783",,"32,921,034",,"333,409",,"26,700",,"53,201",,0,,0,,"77,342,998",
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,2022,4843,"Baltimore, MD","2,212,038","1,486",CB,Commuter Bus,PT,88,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"150,623",,"100,896",,0,,"55,376",,0,,"698,201",,0,,0,,"1,005,096",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",HR,Heavy Rail,DO,84,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"43,040,804",,"524,198",,0,,"1,570,453",,"874,523",,0,,0,,"654,246",,0,,0,,"46,664,224",
"Clear Creek County, dba: Roundabout Transit Solution",Georgetown,CO,88299,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,3,MB,Bus,DO,3,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"42,760",,"42,760",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MG,Monorail/Automated Guideway,DO,21,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"7,693,678",,"34,570,372",,0,,0,,0,,0,,0,,0,,0,,0,,"42,264,050",
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,56602,"Miami--Fort Lauderdale, FL","6,077,522","1,339",MB,Bus,DO,612,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"81,510,212",,"56,502,726",,0,,"35,738,762",,"1,529,266",,"228,783",,"453,613",,"73,482",,0,,0,,"176,036,844",
