Agency,City,State,NTD ID,Reporter Type,Report Year,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Guideway,Stations,Administrative Buildings,Maintenance Buildings,Passenger Vehicles,Other Vehicles,Fare Collection Equipment,Communication & Information Systems,Other,Total
New Jersey Transit Corporation,Newark,NJ,20080,Full,2021,18351295.0,3494,VP,PT,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10493.0,0.0,10493.0
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Full,2021,4586770.0,2728,HR,DO,998,275779601.0,582991105.0,197713153.0,53081648.0,80060780.0,17891046.0,60742308.0,221659249.0,0.0,1489918890.0
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Full,2021,4586770.0,2728,MB,DO,963,935287.0,0.0,9284586.0,43858090.0,143002740.0,0.0,0.0,0.0,0.0,197080703.0
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Full,2021,4586770.0,2728,DR,TX,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Full,2021,4586770.0,2728,DR,PT,644,0.0,0.0,0.0,0.0,8772164.0,0.0,0.0,0.0,0.0,8772164.0
Washington Metropolitan Area Transit Authority,Washington,DC,30030,Full,2021,4586770.0,2728,MB,PT,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago Transit Authority,Chicago,IL,50066,Full,2021,8608208.0,2685,MB,DO,1525,0.0,918295.0,2815218.0,9302546.0,74377151.0,13588.0,12777012.0,2019843.0,0.0,102223653.0
Chicago Transit Authority,Chicago,IL,50066,Full,2021,8608208.0,2685,HR,DO,1160,198652288.0,58913000.0,0.0,1129505.0,97084927.0,2256656.0,0.0,7865875.0,0.0,365902251.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Full,2021,12150996.0,2541,VP,PT,813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Full,2021,12150996.0,2541,HR,DO,54,752720001.0,139686385.0,0.0,1977058.0,10263001.0,0.0,0.0,692229.0,0.0,905338674.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Full,2021,12150996.0,2541,DR,DO,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Full,2021,12150996.0,2541,RB,DO,15,7689346.0,0.0,0.0,0.0,30821139.0,0.0,0.0,0.0,0.0,38510485.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Full,2021,12150996.0,2541,MB,DO,1399,11244.0,2194070.0,3302485.0,17714179.0,203650791.0,8960654.0,163002.0,12541837.0,0.0,248538262.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Full,2021,12150996.0,2541,LR,DO,110,556805991.0,51602475.0,43593802.0,3196290.0,73028985.0,2120924.0,1203392.0,13842884.0,0.0,745394743.0
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Full,2021,12150996.0,2541,MB,PT,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,MB,DO,824,9205687.0,58785.0,3082704.0,45829442.0,12589485.0,1571481.0,68064.0,20361991.0,40586183.0,133353822.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,DR,TX,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,MB,PT,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,DR,PT,230,0.0,0.0,0.0,11513690.0,66641.0,0.0,0.0,0.0,0.0,11580331.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,FB,DO,2,0.0,151461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151461.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,TB,DO,126,4267091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4267091.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,VP,DO,1038,0.0,0.0,0.0,0.0,143480.0,0.0,0.0,0.0,0.0,143480.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,SR,DO,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,LR,PT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,1,Full,2021,3059393.0,2350,CB,PT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,FB,PT,8,0.0,975084.0,0.0,0.0,202023.0,0.0,0.0,0.0,0.0,1177107.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,MB,DO,775,0.0,30787553.0,0.0,72215690.0,91945880.0,0.0,0.0,981967.0,438862.0,196369952.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,MB,PT,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,DR,PT,432,0.0,0.0,0.0,0.0,10114982.0,0.0,0.0,2084981.0,0.0,12199963.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,CR,PT,416,377297341.0,44597479.0,22016049.0,11883401.0,99604725.0,448010.0,0.0,6350526.0,464514.0,562662045.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,RB,DO,39,0.0,15222.0,0.0,0.0,778617.0,0.0,0.0,0.0,0.0,793839.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,HR,DO,336,186127718.0,156815931.0,1075733.0,44842405.0,42552727.0,8166955.0,39983028.0,21579175.0,62541849.0,563685521.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,TB,DO,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts Bay Transportation Authority,Boston,MA,10003,Full,2021,4181019.0,2252,LR,DO,155,527932861.0,25137332.0,0.0,288055.0,39552090.0,0.0,0.0,706503.0,0.0,593616841.0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Full,2021,5441567.0,2099,MB,PT,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Full,2021,5441567.0,2099,TB,DO,29,0.0,0.0,0.0,0.0,537109.0,10831.0,25591.0,0.0,0.0,573531.0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Full,2021,5441567.0,2099,CR,DO,286,120095520.0,28703708.0,43437.0,2597872.0,34385607.0,693423.0,9896059.0,25410835.0,0.0,221826461.0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Full,2021,5441567.0,2099,HR,DO,286,8964780.0,26975879.0,15427.0,1474327.0,23036074.0,464547.0,3514624.0,14336868.0,0.0,78782526.0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Full,2021,5441567.0,2099,DR,PT,175,0.0,0.0,0.0,0.0,5855560.0,0.0,273481.0,0.0,0.0,6129041.0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Full,2021,5441567.0,2099,MB,DO,1212,189949.0,0.0,26631.0,6921451.0,119010505.0,2399974.0,6067305.0,1386694.0,0.0,136002509.0
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,30019,Full,2021,5441567.0,2099,SR,DO,108,15643627.0,144405.0,6148.0,0.0,7643411.0,154138.0,1101551.0,0.0,0.0,24693280.0
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,Full,2021,5502379.0,1386,CB,PT,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,Full,2021,5502379.0,1386,MB,DO,592,57902798.0,11909451.0,116115.0,516606.0,78486684.0,1187905.0,0.0,578338.0,0.0,150697897.0
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,Full,2021,5502379.0,1386,HR,DO,52,8906753.0,633285.0,0.0,548699.0,23387663.0,0.0,0.0,0.0,0.0,33476400.0
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,Full,2021,5502379.0,1386,DR,PT,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,Full,2021,5502379.0,1386,MG,DO,21,6610841.0,999765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7610606.0
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,Full,2021,5502379.0,1386,MB,PT,172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"County of Miami-Dade , dba: Transportation & Public Work",Miami,FL,40034,Full,2021,5502379.0,1386,VP,PT,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,RB,DO,8,3015546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015546.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,LR,DO,50,19434306.0,2784378.0,0.0,9314372.0,4183069.0,0.0,0.0,0.0,0.0,35716125.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,MB,DO,447,6451573.0,21423344.0,99900.0,3034003.0,6156370.0,2703255.0,329286.0,3846796.0,0.0,44044527.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,DR,PT,322,0.0,0.0,0.0,0.0,7931946.0,0.0,0.0,0.0,0.0,7931946.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,CB,PT,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,VP,DO,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,DR,TX,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,MB,PT,122,0.0,0.0,0.0,0.0,1593313.0,0.0,0.0,0.0,0.0,1593313.0
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,60008,Full,2021,4944332.0,1367,CB,DO,104,2170105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2170105.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,MB,DO,604,1120958.0,357810.0,671984.0,17983496.0,29948642.0,1308620.0,2340926.0,4216711.0,2699923.0,60649070.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,CB,PT,58,77431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400972.0,478403.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,HR,DO,42,18823061.0,1490238.0,170445.0,759024.0,3902345.0,31852.0,123849.0,15489236.0,320964.0,41111014.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,DR,PT,289,0.0,0.0,50052.0,312405.0,5942407.0,6303.0,0.0,1862094.0,0.0,8173261.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,LR,DO,17,355593646.0,88801433.0,55865.0,856521.0,14012161.0,612306.0,863249.0,8207347.0,889606.0,469892134.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,DR,TX,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,CR,PT,149,17093422.0,4404875.0,16521.0,5404584.0,7306894.0,67300.0,243198.0,3283848.0,1583032.0,39403674.0
Maryland Transit Administration,Baltimore,MD,30034,Full,2021,2203663.0,1333,DR,DO,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,Full,2021,18351295.0,1139,MB,PT,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,Full,2021,18351295.0,1139,FB,PT,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,Full,2021,18351295.0,1139,CR,DO,1128,154338663.0,92477836.0,1682587.0,108746945.0,95924987.0,8789739.0,143197.0,94827992.0,7113673.0,564045619.0
MTA Bus Company,New York,NY,20188,Full,2021,18351295.0,1122,MB,DO,1122,0.0,0.0,5614558.0,20224864.0,58203799.0,0.0,0.0,9044809.0,0.0,93088030.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,LR,DO,81,9827247.0,8517814.0,144521.0,71821.0,64681.0,73868.0,0.0,487289.0,0.0,19187241.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,MB,PT,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,DR,PT,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,CB,DO,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,DR,DO,52,0.0,0.0,0.0,0.0,3457282.0,50323.0,140794.0,85160.0,0.0,3733559.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,CR,DO,45,26397296.0,1490565.0,121078.0,770563.0,765359.0,15952.0,0.0,1883070.0,0.0,31443883.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,VP,DO,372,0.0,0.0,0.0,0.0,1420.0,0.0,0.0,0.0,0.0,1420.0
Utah Transit Authority,Salt Lake City,UT,80001,Full,2021,1021243.0,1016,MB,DO,338,29458889.0,2768463.0,87858.0,30870326.0,16937093.0,144137.0,118711.0,4265427.0,0.0,84650904.0
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Full,2021,8608208.0,997,DR,PT,747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pace-Suburban Bus Division, ADA Paratransit Services",Arlington Heights,IL,50182,Full,2021,8608208.0,997,DR,TX,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Full,2021,8608208.0,986,DR,DO,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Full,2021,8608208.0,986,MB,DO,480,0.0,7857121.0,0.0,15338720.0,17273105.0,344767.0,0.0,3911567.0,4230421.0,48955701.0
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Full,2021,8608208.0,986,MB,PT,27,0.0,0.0,0.0,0.0,384307.0,0.0,0.0,0.0,0.0,384307.0
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Full,2021,8608208.0,986,DR,TX,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Full,2021,8608208.0,986,VP,DO,235,0.0,0.0,0.0,0.0,1923946.0,0.0,0.0,0.0,0.0,1923946.0
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Full,2021,8608208.0,986,DR,PT,211,0.0,0.0,0.0,0.0,170367.0,0.0,0.0,0.0,0.0,170367.0
Denver Regional Transportation District,Denver,CO,80006,Full,2021,2374203.0,913,CR,DO,8,1062638.0,2105032.0,316215.0,0.0,0.0,154060.0,0.0,1669134.0,39836.0,5346915.0
Denver Regional Transportation District,Denver,CO,80006,Full,2021,2374203.0,913,CR,PT,36,0.0,137595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137595.0
Denver Regional Transportation District,Denver,CO,80006,Full,2021,2374203.0,913,MB,DO,286,0.0,812142.0,147511.0,3159243.0,0.0,122816.0,890673.0,2786733.0,2406142.0,10325260.0
Denver Regional Transportation District,Denver,CO,80006,Full,2021,2374203.0,913,DR,PT,278,0.0,0.0,0.0,0.0,3488297.0,0.0,0.0,1080.0,0.0,3489377.0
Denver Regional Transportation District,Denver,CO,80006,Full,2021,2374203.0,913,MB,PT,194,0.0,0.0,0.0,0.0,6449795.0,0.0,0.0,0.0,0.0,6449795.0
Denver Regional Transportation District,Denver,CO,80006,Full,2021,2374203.0,913,LR,DO,111,3693752.0,3902.0,0.0,0.0,0.0,580626.0,639485.0,400642.0,64974.0,5383381.0
MTA Long Island Rail Road,Jamaica,NY,20100,Full,2021,18351295.0,882,CR,DO,882,724126334.0,258839446.0,1696810.0,36718873.0,120727897.0,145680.0,0.0,75994366.0,3629290.0,1221878696.0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Full,2021,4515419.0,842,MB,DO,442,861984.0,2934908.0,1318547.0,4525049.0,18790593.0,1164898.0,0.0,3997658.0,2705984.0,36299621.0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Full,2021,4515419.0,842,HR,DO,210,39458650.0,86671272.0,226691.0,900528.0,56691463.0,499242.0,0.0,19084710.0,0.0,203532556.0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Full,2021,4515419.0,842,SR,DO,2,0.0,0.0,0.0,277100.0,0.0,0.0,0.0,0.0,0.0,277100.0
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Full,2021,4515419.0,842,DR,PT,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIA Metropolitan Transit,San Antonio,TX,60011,Full,2021,1758210.0,823,DR,PT,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIA Metropolitan Transit,San Antonio,TX,60011,Full,2021,1758210.0,823,DR,DO,84,0.0,0.0,0.0,8870247.0,17282709.0,0.0,0.0,0.0,0.0,26152956.0
VIA Metropolitan Transit,San Antonio,TX,60011,Full,2021,1758210.0,823,MB,DO,503,0.0,2109368.0,5120.0,1927924.0,7092889.0,197196.0,55450.0,2256474.0,493368.0,14137789.0
VIA Metropolitan Transit,San Antonio,TX,60011,Full,2021,1758210.0,823,DR,TX,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIA Metropolitan Transit,San Antonio,TX,60011,Full,2021,1758210.0,823,VP,PT,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287482.0,287482.0
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Full,2021,8608208.0,818,CR,DO,422,95336545.0,9291599.0,3184697.0,16767639.0,183098120.0,6137491.0,0.0,22824592.0,198666.0,336839349.0
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Full,2021,8608208.0,818,CR,PT,396,26463024.0,5988817.0,0.0,2855405.0,0.0,0.0,0.0,0.0,0.0,35307246.0
Port Authority of Allegheny County,Pittsburgh,PA,30022,Full,2021,1733853.0,781,MB,DO,561,13960249.0,2398860.0,223119.0,12673077.0,29458748.0,2516304.0,888092.0,2820177.0,0.0,64938626.0
Port Authority of Allegheny County,Pittsburgh,PA,30022,Full,2021,1733853.0,781,LR,DO,24,10028659.0,2457677.0,70251.0,3462485.0,2635607.0,191729.0,67667.0,5260064.0,0.0,24174139.0
Port Authority of Allegheny County,Pittsburgh,PA,30022,Full,2021,1733853.0,781,IP,DO,2,0.0,817623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817623.0
Port Authority of Allegheny County,Pittsburgh,PA,30022,Full,2021,1733853.0,781,DR,PT,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,Full,2021,3281212.0,746,DR,PT,66,0.0,0.0,0.0,0.0,55883.0,60000.0,0.0,0.0,0.0,115883.0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,Full,2021,3281212.0,746,MB,DO,398,32407115.0,0.0,0.0,6955706.0,2280103.0,266936.0,0.0,804345.0,0.0,42714205.0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,Full,2021,3281212.0,746,TB,DO,158,2552350.0,0.0,0.0,455090.0,5994493.0,77342.0,0.0,237758.0,0.0,9317033.0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,Full,2021,3281212.0,746,SR,DO,12,564997.0,0.0,0.0,0.0,2967397.0,0.0,0.0,0.0,0.0,3532394.0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,Full,2021,3281212.0,746,LR,DO,112,73542513.0,3529941.0,0.0,4008949.0,42234415.0,846296.0,0.0,5353645.0,0.0,129515759.0
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency",San Francisco,CA,90015,Full,2021,3281212.0,746,CC,DO,0,2217085.0,0.0,0.0,263451.0,3183603.0,123620.0,0.0,0.0,0.0,5787759.0
California Vanpool Authority,Hanford,CA,90230,Full,2021,87941.0,736,VP,DO,736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,Full,2021,1849898.0,736,MB,DO,512,0.0,42545183.0,5006782.0,39210141.0,24776133.0,858700.0,738942.0,2364368.0,160013.0,115660262.0
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,Full,2021,1849898.0,736,YR,PT,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,Full,2021,1849898.0,736,DR,TX,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,Full,2021,1849898.0,736,LR,DO,102,17320947.0,2611080.0,0.0,8770108.0,11835544.0,282039.0,0.0,11126768.0,0.0,51946486.0
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,Full,2021,1849898.0,736,DR,PT,100,0.0,0.0,0.0,0.0,4694.0,0.0,0.0,76918.0,0.0,81612.0
Tri-County Metropolitan Transportation District of Oregon,Portland,OR,8,Full,2021,1849898.0,736,SR,PT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Area Rapid Transit,Dallas,TX,60056,Full,2021,5121892.0,730,LR,DO,89,2793391.0,40969024.0,32684.0,27997.0,70688.0,0.0,0.0,2904856.0,0.0,46798640.0
Dallas Area Rapid Transit,Dallas,TX,60056,Full,2021,5121892.0,730,MB,DO,453,0.0,631818.0,723762.0,549284.0,0.0,209604.0,1879988.0,8509044.0,0.0,12503500.0
Dallas Area Rapid Transit,Dallas,TX,60056,Full,2021,5121892.0,730,CR,PT,23,211671523.0,0.0,0.0,1870763.0,24946654.0,0.0,0.0,961810.0,0.0,239450750.0
Dallas Area Rapid Transit,Dallas,TX,60056,Full,2021,5121892.0,730,SR,DO,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5687.0,0.0,5687.0
Dallas Area Rapid Transit,Dallas,TX,60056,Full,2021,5121892.0,730,DR,PT,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Area Rapid Transit,Dallas,TX,60056,Full,2021,5121892.0,730,VP,PT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
