ntd_id,agency_name,reporting_module,mode,expense_type,passenger_paid_fares,organization_paid_fares,total_fares
7,Lane Transit District,Urban,DR,Funds Earned During Period,10473360,0.0,10473360.0
7,Lane Transit District,Urban,MB,Funds Earned During Period,1067170,959687.0,2026857.0
7,Lane Transit District,Urban,MB,Funds Earned During Period,18197,0.0,18197.0
7,Lane Transit District,Urban,RB,Funds Earned During Period,979298,793863.0,1773161.0
7,Lane Transit District,Urban,VP,Funds Earned During Period,39340,0.0,39340.0
8,Tri-County Metropolitan Transportation District of Oregon,Urban,DR,Funds Earned During Period,968122,4308243.0,5276365.0
8,Tri-County Metropolitan Transportation District of Oregon,Urban,DR,Funds Earned During Period,87166,387895.0,475061.0
8,Tri-County Metropolitan Transportation District of Oregon,Urban,LR,Funds Earned During Period,14187373,4983837.0,19171210.0
8,Tri-County Metropolitan Transportation District of Oregon,Urban,MB,Funds Earned During Period,21419305,7524317.0,28943622.0
8,Tri-County Metropolitan Transportation District of Oregon,Urban,SR,Funds Earned During Period,1062102,0.0,1062102.0
8,Tri-County Metropolitan Transportation District of Oregon,Urban,YR,Funds Earned During Period,55326,19435.0,74761.0
11,Valley Regional Transit,Urban,DR,Funds Earned During Period,79927,6016.0,85943.0
11,Valley Regional Transit,Urban,MB,Funds Earned During Period,535088,142238.0,677326.0
12,Municipality of Anchorage,Urban,DR,Funds Earned During Period,261813,325837.0,587650.0
12,Municipality of Anchorage,Urban,MB,Funds Earned During Period,2921052,0.0,2921052.0
12,Municipality of Anchorage,Urban,VP,Funds Earned During Period,1400709,0.0,1400709.0
14,Sitka Tribe of Alaska,Tribe,MB,Funds Expended on Operations,36890,0.0,36890.0
16,RiverCities Transit,Urban,CB,Funds Earned During Period,191,0.0,191.0
16,RiverCities Transit,Urban,DR,Funds Earned During Period,17570,1905.0,19475.0
16,RiverCities Transit,Urban,MB,Funds Earned During Period,62566,37873.0,100439.0
18,Ben Franklin Transit,Urban,DR,Funds Earned During Period,116331,106410.0,222741.0
18,Ben Franklin Transit,Urban,DR,Funds Earned During Period,34608,0.0,34608.0
18,Ben Franklin Transit,Urban,MB,Funds Earned During Period,523211,197033.0,720244.0
18,Ben Franklin Transit,Urban,VP,Funds Earned During Period,694805,23179.0,717984.0
19,Intercity Transit,Urban,VP,Funds Earned During Period,404230,0.0,404230.0
20,Kitsap Transit,Urban,DR,Funds Earned During Period,183803,0.0,183803.0
20,Kitsap Transit,Urban,DR,Funds Earned During Period,6398,0.0,6398.0
20,Kitsap Transit,Urban,FB,Funds Earned During Period,2947815,0.0,2947815.0
20,Kitsap Transit,Urban,MB,Funds Earned During Period,2001125,0.0,2001125.0
20,Kitsap Transit,Urban,VP,Funds Earned During Period,183660,0.0,183660.0
21,Whatcom Transportation Authority,Urban,DR,Funds Earned During Period,76252,0.0,76252.0
21,Whatcom Transportation Authority,Urban,MB,Funds Earned During Period,870083,546616.0,1416699.0
21,Whatcom Transportation Authority,Urban,VP,Funds Earned During Period,53671,0.0,53671.0
22,City of Pocatello,Urban,DR,Funds Expended on Operations,37121,340277.0,377398.0
22,City of Pocatello,Urban,MB,Funds Expended on Operations,67809,76070.0,143879.0
23,City of Seattle,Urban,MG,Funds Earned During Period,4319228,0.0,4319228.0
24,Clark County Public Transportation Benefit Area Authority,Urban,DR,Funds Earned During Period,151715,0.0,151715.0
24,Clark County Public Transportation Benefit Area Authority,Urban,MB,Funds Earned During Period,2334126,0.0,2334126.0
24,Clark County Public Transportation Benefit Area Authority,Urban,VP,Funds Earned During Period,105077,0.0,105077.0
25,Salem Area Mass Transit District,Urban,DR,Funds Earned During Period,190516,318539.0,509055.0
25,Salem Area Mass Transit District,Urban,MB,Funds Earned During Period,1688365,0.0,1688365.0
25,Salem Area Mass Transit District,Urban,MB,Funds Earned During Period,136837,0.0,136837.0
25,Salem Area Mass Transit District,Urban,VP,Funds Earned During Period,257946,0.0,257946.0
28,County of Pierce,Urban,FB,Funds Earned During Period,2979914,0.0,2979914.0
29,Snohomish County Public Transportation Benefit Area Corporation,Urban,CB,Funds Earned During Period,275094,676547.0,951641.0
29,Snohomish County Public Transportation Benefit Area Corporation,Urban,CB,Funds Earned During Period,1507262,2644601.0,4151863.0
29,Snohomish County Public Transportation Benefit Area Corporation,Urban,DR,Funds Earned During Period,245474,3875.0,249349.0
29,Snohomish County Public Transportation Benefit Area Corporation,Urban,MB,Funds Earned During Period,3444644,1013947.0,4458591.0
29,Snohomish County Public Transportation Benefit Area Corporation,Urban,VP,Funds Earned During Period,754326,650713.0,1405039.0
30,Chickaloon Native Village,Tribe,DR,Funds Expended on Operations,2325,0.0,2325.0
33,Senior Services of Snohomish County,Rural,DR,Funds Expended on Operations,16941,0.0,16941.0
34,Rogue Valley Transportation District,Urban,DR,Funds Earned During Period,109675,0.0,109675.0
34,Rogue Valley Transportation District,Urban,MB,Funds Earned During Period,771641,0.0,771641.0
35,Washington State Ferries,Urban,FB,Funds Earned During Period,57644277,0.0,57644277.0
36,Makah Tribal Council,Tribe,MB,Funds Expended on Operations,142,0.0,142.0
40,Central Puget Sound Regional Transit Authority,Urban,CB,Funds Earned During Period,4702902,5188378.0,9891280.0
40,Central Puget Sound Regional Transit Authority,Urban,CB,Funds Earned During Period,769238,1507975.0,2277213.0
40,Central Puget Sound Regional Transit Authority,Urban,CR,Funds Earned During Period,1393189,2669080.0,4062269.0
40,Central Puget Sound Regional Transit Authority,Urban,LR,Funds Earned During Period,15128592,14257888.0,29386480.0
41,Alaska Railroad Corporation,Urban,AR,Funds Earned During Period,33709263,0.0,33709263.0
44,Skagit Transit,Urban,CB,Funds Earned During Period,70988,0.0,70988.0
44,Skagit Transit,Urban,DR,Funds Earned During Period,89105,0.0,89105.0
44,Skagit Transit,Urban,MB,Funds Earned During Period,216295,0.0,216295.0
44,Skagit Transit,Urban,VP,Funds Earned During Period,298245,0.0,298245.0
45,Fairbanks North Star Borough,Urban,DR,Funds Expended on Operations,160,0.0,160.0
45,Fairbanks North Star Borough,Urban,MB,Funds Expended on Operations,2020,0.0,2020.0
46,City of Wilsonville,Urban,MB,Funds Earned During Period,52523,0.0,52523.0
47,City of Corvallis,Urban,MB,Funds Expended on Operations,0,89022.0,89022.0
48,City of Lewiston,Urban,DR,Funds Expended on Operations,9830,0.0,9830.0
48,City of Lewiston,Urban,MB,Funds Expended on Operations,26713,0.0,26713.0
51,Asotin County,Urban,DR,Funds Expended on Operations,6750,0.0,6750.0
51,Asotin County,Urban,MB,Funds Expended on Operations,19539,0.0,19539.0
51,Asotin County,Urban,VP,Funds Expended on Operations,55456,0.0,55456.0
57,Central Oregon Intergovernmental Council,Urban,CB,Funds Earned During Period,87934,0.0,87934.0
57,Central Oregon Intergovernmental Council,Urban,DR,Funds Earned During Period,0,11238.0,11238.0
57,Central Oregon Intergovernmental Council,Urban,DR,Funds Earned During Period,0,6428.0,6428.0
57,Central Oregon Intergovernmental Council,Urban,MB,Funds Earned During Period,89653,0.0,89653.0
58,City of Portland,Urban,SR,Funds Earned During Period,1062102,0.0,1062102.0
58,City of Portland,Urban,TR,Funds Earned During Period,80689,0.0,80689.0
59,Josephine County,Urban,CB,Funds Expended on Operations,20278,0.0,20278.0
59,Josephine County,Urban,DR,Funds Expended on Operations,24551,0.0,24551.0
59,Josephine County,Urban,MB,Funds Expended on Operations,48761,0.0,48761.0
61,City of Albany,Urban,MB,Funds Expended on Operations,110,0.0,110.0
63,City of Milton-Freewater,Urban,DR,Funds Expended on Operations,2514,0.0,2514.0
64,Valley Transit,Urban,DR,Funds Expended on Operations,13912,0.0,13912.0
64,Valley Transit,Urban,MB,Funds Expended on Operations,31972,0.0,31972.0
64,Valley Transit,Urban,VP,Funds Expended on Operations,54455,0.0,54455.0
65,Benton County,Urban,CB,Funds Expended on Operations,5979,0.0,5979.0
65,Benton County,Urban,DR,Funds Expended on Operations,28505,0.0,28505.0
85,Gulkana Village Council,Tribe,DR,Funds Expended on Operations,2525,0.0,2525.0
85,Gulkana Village Council,Tribe,MB,Funds Expended on Operations,18292,2477.0,20769.0
135,Nez Perce Tribe,Tribe,DR,Funds Expended on Operations,0,50.0,50.0
135,Nez Perce Tribe,Tribe,MB,Funds Expended on Operations,5521,2565.0,8086.0
199,Seldovia Village Tribe,Tribe,FB,Funds Expended on Operations,564491,28079.0,592570.0
207,Spokane Tribe of Indians,Tribe,VP,Funds Expended on Operations,16336,0.0,16336.0
279,Hydaburg Cooperative Association,Tribe,DR,Funds Expended on Operations,7020,0.0,7020.0
282,Garfield County Transportation Program,Rural,DR,Funds Expended on Operations,3187,1804.0,4991.0
286,Rural Resources Community Action,Rural,CB,Funds Expended on Operations,1630,0.0,1630.0
286,Rural Resources Community Action,Rural,DR,Funds Expended on Operations,6872,0.0,6872.0
290,City of Cottage Grove,Rural,DR,Funds Expended on Operations,4650,34862.0,39512.0
294,Pullman Transit,Rural,DR,Funds Expended on Operations,7457,0.0,7457.0
294,Pullman Transit,Rural,MB,Funds Expended on Operations,27153,1606109.0,1633262.0
296,Tillamook County Transportation District,Rural,CB,Funds Expended on Operations,87978,4846.0,92824.0
296,Tillamook County Transportation District,Rural,DR,Funds Expended on Operations,82616,455022.0,537638.0
296,Tillamook County Transportation District,Rural,MB,Funds Expended on Operations,78794,0.0,78794.0
298,Island Transit,Rural,VP,Funds Expended on Operations,181746,0.0,181746.0
299,Klickitat County Senior Services,Rural,DR,Funds Expended on Operations,25694,0.0,25694.0
299,Klickitat County Senior Services,Rural,MB,Funds Expended on Operations,9836,0.0,9836.0
300,City of Silverton,Rural,DR,Funds Expended on Operations,1895,0.0,1895.0
301,South Clackamas Transportation District,Rural,MB,Funds Expended on Operations,14973,0.0,14973.0
303,Clallam Transit System,Rural,DR,Funds Expended on Operations,29756,0.0,29756.0
303,Clallam Transit System,Rural,MB,Funds Expended on Operations,543734,0.0,543734.0
303,Clallam Transit System,Rural,VP,Funds Expended on Operations,119026,0.0,119026.0
307,Coos County Area Transit,Rural,CB,Funds Expended on Operations,16628,4395.0,21023.0
307,Coos County Area Transit,Rural,DR,Funds Expended on Operations,14406,2789.0,17195.0
307,Coos County Area Transit,Rural,DR,Funds Expended on Operations,36,0.0,36.0
307,Coos County Area Transit,Rural,MB,Funds Expended on Operations,11864,5306.0,17170.0
308,Curry County Public Transit Service District,Rural,DR,Funds Expended on Operations,14912,23277.0,38189.0
308,Curry County Public Transit Service District,Rural,MB,Funds Expended on Operations,25065,0.0,25065.0
309,Grant County Transportation Authority,Rural,VP,Funds Expended on Operations,55881,0.0,55881.0
310,Lincoln County Transportation Service District,Rural,CB,Funds Expended on Operations,6800,375.0,7175.0
310,Lincoln County Transportation Service District,Rural,DR,Funds Expended on Operations,27573,5206.0,32779.0
310,Lincoln County Transportation Service District,Rural,MB,Funds Expended on Operations,72604,7954.0,80558.0
311,Mountain Rides Transportation Authority,Rural,DR,Funds Expended on Operations,703,0.0,703.0
311,Mountain Rides Transportation Authority,Rural,MB,Funds Expended on Operations,2790,0.0,2790.0
311,Mountain Rides Transportation Authority,Rural,VP,Funds Expended on Operations,169962,0.0,169962.0
313,Grant County Transportation District,Rural,DR,Funds Expended on Capital,0,18359.0,18359.0
313,Grant County Transportation District,Rural,DR,Funds Expended on Operations,15089,25042.0,40131.0
313,Grant County Transportation District,Rural,MB,Funds Expended on Operations,14095,8386.0,22481.0
314,Grays Harbor Transit,Rural,DR,Funds Expended on Operations,6094,323.0,6417.0
314,Grays Harbor Transit,Rural,MB,Funds Expended on Operations,24375,1293.0,25668.0
314,Grays Harbor Transit,Rural,VP,Funds Expended on Operations,49997,31664.0,81661.0
315,Mason County Transportation Authority,Rural,MB,Funds Expended on Operations,120319,4781.0,125100.0
316,Jefferson Transit,Rural,MB,Funds Expended on Operations,11700,0.0,11700.0
317,Mt Si Senior Center,Rural,DR,Funds Expended on Operations,9430,0.0,9430.0
319,Hood River County Transportation District,Rural,CB,Funds Expended on Operations,91668,7254.0,98922.0
319,Hood River County Transportation District,Rural,DR,Funds Expended on Operations,11113,879.0,11992.0
319,Hood River County Transportation District,Rural,MB,Funds Expended on Operations,80344,6358.0,86702.0
322,Pacific Transit,Rural,DR,Funds Expended on Operations,14753,0.0,14753.0
322,Pacific Transit,Rural,MB,Funds Expended on Operations,32836,0.0,32836.0
323,Malheur Council on Aging and Community Services,Rural,CB,Funds Expended on Operations,4395,0.0,4395.0
323,Malheur Council on Aging and Community Services,Rural,DR,Funds Expended on Capital,0,3173.0,3173.0
323,Malheur Council on Aging and Community Services,Rural,DR,Funds Expended on Operations,11792,116015.0,127807.0
323,Malheur Council on Aging and Community Services,Rural,MB,Funds Expended on Operations,7817,0.0,7817.0
327,Valley Transit,Rural,DR,Funds Expended on Operations,48796,0.0,48796.0
327,Valley Transit,Rural,MB,Funds Expended on Operations,77569,0.0,77569.0
330,City of Canby,Rural,DR,Funds Expended on Operations,6270,0.0,6270.0
330,City of Canby,Rural,MB,Funds Expended on Operations,31135,0.0,31135.0
331,Sunset Empire Transportation District,Rural,DR,Funds Expended on Operations,12348,63714.0,76062.0
331,Sunset Empire Transportation District,Rural,MB,Funds Expended on Operations,187395,1252.0,188647.0
332,Okanogan County Transportation & Nutrition,Rural,DR,Funds Expended on Operations,14528,79668.0,94196.0
332,Okanogan County Transportation & Nutrition,Rural,MB,Funds Expended on Operations,6268,0.0,6268.0
333,Council on Aging & Human Services (COAST),Rural,DR,Funds Expended on Operations,4766,0.0,4766.0
336,Skamania County Senior Services,Rural,DR,Funds Expended on Operations,6041,0.0,6041.0
336,Skamania County Senior Services,Rural,MB,Funds Expended on Operations,6660,0.0,6660.0
339,Basin Transit Service,Rural,DR,Funds Expended on Operations,16037,434.0,16471.0
339,Basin Transit Service,Rural,MB,Funds Expended on Operations,100411,9936.0,110347.0
340,"Senior Citizens of Kodiak, Inc.",Rural,DR,Funds Expended on Operations,0,21677.0,21677.0
343,Community Connection of Northeast Oregon,Rural,CB,Funds Expended on Operations,6986,0.0,6986.0
343,Community Connection of Northeast Oregon,Rural,DR,Funds Expended on Operations,9101,218848.0,227949.0
343,Community Connection of Northeast Oregon,Rural,MB,Funds Expended on Operations,1415,0.0,1415.0
345,Glacier Valley Transit,Rural,MB,Funds Expended on Operations,15946,0.0,15946.0
347,SMART Transit,Rural,DR,Funds Expended on Operations,3155,15789.0,18944.0
348,"Senior Citizens of Sweet Home, Inc.",Rural,CB,Funds Expended on Operations,30454,0.0,30454.0
348,"Senior Citizens of Sweet Home, Inc.",Rural,DR,Funds Expended on Operations,5736,0.0,5736.0
348,"Senior Citizens of Sweet Home, Inc.",Rural,MB,Funds Expended on Operations,2416,0.0,2416.0
354,"Catholic Community Service, Sitka",Rural,DR,Funds Expended on Operations,3006,0.0,3006.0
357,TransIV Buses - College of Southern Idaho,Rural,DR,Funds Expended on Operations,25034,18661.0,43695.0
358,Ketchikan Gateway Borough,Rural,DR,Funds Expended on Operations,3778,0.0,3778.0
358,Ketchikan Gateway Borough,Rural,MB,Funds Expended on Operations,176075,0.0,176075.0
359,City of Pendleton,Rural,DR,Funds Expended on Operations,19559,0.0,19559.0
363,Clackamas County Social Services,Rural,CB,Funds Expended on Operations,73500,0.0,73500.0
363,Clackamas County Social Services,Rural,MB,Funds Expended on Operations,4355,0.0,4355.0
364,Twin Transit,Rural,DR,Funds Expended on Operations,32541,0.0,32541.0
364,Twin Transit,Rural,MB,Funds Expended on Operations,16,99.0,115.0
368,Lower Columbia Community Action Council,Rural,CB,Funds Expended on Operations,12804,0.0,12804.0
371,Wahkiakum County Health & Human Services,Rural,DR,Funds Expended on Operations,0,84939.0,84939.0
371,Wahkiakum County Health & Human Services,Rural,MB,Funds Expended on Operations,1805,0.0,1805.0
373,Treasure Valley Transit,Urban,DR,Funds Expended on Capital,0,271087.0,271087.0
373,Treasure Valley Transit,Urban,DR,Funds Expended on Operations,5864,182849.0,188713.0
373,Treasure Valley Transit,Urban,MB,Funds Expended on Operations,1260,0.0,1260.0
374,Harney County,Rural,DR,Funds Expended on Operations,26592,0.0,26592.0
375,Columbia County,Rural,CB,Funds Expended on Operations,13016,10099.0,23115.0
375,Columbia County,Rural,DR,Funds Expended on Operations,11734,9104.0,20838.0
376,"Ride Connection, Inc.",Urban,MB,Funds Earned During Period,30527,0.0,30527.0
377,City of Lebanon,Rural,DR,Funds Expended on Operations,0,1585.0,1585.0
377,City of Lebanon,Rural,MB,Funds Expended on Operations,0,608.0,608.0
378,"Central Area Rural Transit System, Inc.",Rural,DR,Funds Expended on Operations,38476,0.0,38476.0
378,"Central Area Rural Transit System, Inc.",Rural,DR,Funds Expended on Operations,71870,0.0,71870.0
382,Inter-Island Ferry Authority,Rural,FB,Funds Expended on Operations,2004184,0.0,2004184.0
383,Columbia County Public Transportation,Rural,DR,Funds Expended on Operations,9622,0.0,9622.0
383,Columbia County Public Transportation,Rural,VP,Funds Expended on Operations,12436,0.0,12436.0
386,Special Mobility Services,Rural,DR,Funds Expended on Operations,3360,0.0,3360.0
386,Special Mobility Services,Rural,MB,Funds Expended on Operations,10149,0.0,10149.0
387,City of Bethel,Rural,MB,Funds Expended on Operations,2561,1150.0,3711.0
389,City of Sandy,Rural,CB,Funds Expended on Operations,37254,0.0,37254.0
389,City of Sandy,Rural,DR,Funds Expended on Operations,2681,0.0,2681.0
391,City and Borough of Juneau,Rural,DR,Funds Expended on Operations,3524,0.0,3524.0
391,City and Borough of Juneau,Rural,MB,Funds Expended on Operations,438941,0.0,438941.0
396,Mid-Columbia Economic Development District,Rural,DR,Funds Expended on Operations,13497,36418.0,49915.0
396,Mid-Columbia Economic Development District,Rural,MB,Funds Expended on Operations,18708,0.0,18708.0
398,Coastal Community Action Program,Rural,DR,Funds Expended on Operations,2473,0.0,2473.0
400,Gwichyaa Zhee Tribal Transit Service,Tribe,MB,Funds Expended on Operations,1968,0.0,1968.0
403,Lemhi Ride,Rural,DR,Funds Expended on Operations,41968,13066.0,55034.0
405,Okanogan Transit,Rural,MB,Funds Expended on Operations,23722,0.0,23722.0
405,Okanogan Transit,Rural,VP,Funds Expended on Operations,24955,0.0,24955.0
409,Morrow County,Rural,DR,Funds Expended on Operations,0,10000.0,10000.0
414,Ninilchik Village,Tribe,MB,Funds Expended on Operations,2479,910.0,3389.0
415,Ada County Highway District,Urban,VP,Funds Earned During Period,848358,82023.0,930381.0
459,Umpqua Public Transportation District,Rural,CB,Funds Expended on Capital,15519,66.0,15585.0
459,Umpqua Public Transportation District,Rural,CB,Funds Expended on Operations,0,7442.0,7442.0
459,Umpqua Public Transportation District,Rural,DR,Funds Expended on Capital,22920,1883.0,24803.0
459,Umpqua Public Transportation District,Rural,DR,Funds Expended on Operations,0,11726.0,11726.0
459,Umpqua Public Transportation District,Rural,MB,Funds Expended on Capital,26449,0.0,26449.0
459,Umpqua Public Transportation District,Rural,MB,Funds Expended on Operations,3997,19487.0,23484.0
464,Lane Council of Governments,Rural,MB,Funds Expended on Operations,30017,205.0,30222.0
10001,Rhode Island Public Transit Authority,Urban,DR,Funds Earned During Period,198173,165803.0,363976.0
10001,Rhode Island Public Transit Authority,Urban,DR,Funds Earned During Period,11488,0.0,11488.0
10001,Rhode Island Public Transit Authority,Urban,MB,Funds Earned During Period,7829693,5673280.0,13502973.0
10001,Rhode Island Public Transit Authority,Urban,VP,Funds Earned During Period,422509,0.0,422509.0
10002,Manchester Transit Authority,Urban,DR,Funds Expended on Operations,19615,0.0,19615.0
10002,Manchester Transit Authority,Urban,MB,Funds Expended on Operations,358284,13645.0,371929.0
10003,Massachusetts Bay Transportation Authority,Urban,CR,Funds Earned During Period,80658731,0.0,80658731.0
10003,Massachusetts Bay Transportation Authority,Urban,DR,Funds Earned During Period,2718009,0.0,2718009.0
10003,Massachusetts Bay Transportation Authority,Urban,FB,Funds Earned During Period,4309134,0.0,4309134.0
10003,Massachusetts Bay Transportation Authority,Urban,HR,Funds Earned During Period,125112804,0.0,125112804.0
10003,Massachusetts Bay Transportation Authority,Urban,LR,Funds Earned During Period,47061388,0.0,47061388.0
10003,Massachusetts Bay Transportation Authority,Urban,MB,Funds Earned During Period,55129168,0.0,55129168.0
10003,Massachusetts Bay Transportation Authority,Urban,MB,Funds Earned During Period,110480,0.0,110480.0
10003,Massachusetts Bay Transportation Authority,Urban,RB,Funds Earned During Period,5998846,0.0,5998846.0
10003,Massachusetts Bay Transportation Authority,Urban,TB,Funds Earned During Period,1066929,0.0,1066929.0
10004,Brockton Area Transit Authority,Urban,DR,Funds Earned During Period,125447,693267.0,818714.0
10004,Brockton Area Transit Authority,Urban,MB,Funds Earned During Period,1580297,0.0,1580297.0
10005,Lowell Regional Transit Authority,Urban,DR,Funds Earned During Period,126834,0.0,126834.0
10005,Lowell Regional Transit Authority,Urban,MB,Funds Earned During Period,757447,0.0,757447.0
10006,Southeastern Regional Transit Authority,Urban,DR,Funds Earned During Period,188772,0.0,188772.0
10006,Southeastern Regional Transit Authority,Urban,MB,Funds Earned During Period,1489280,0.0,1489280.0
10007,Berkshire Regional Transit Authority,Urban,DR,Funds Earned During Period,64867,0.0,64867.0
10007,Berkshire Regional Transit Authority,Urban,MB,Funds Earned During Period,472675,35475.0,508150.0
10008,Pioneer Valley Transit Authority,Urban,DR,Funds Earned During Period,647519,0.0,647519.0
10008,Pioneer Valley Transit Authority,Urban,MB,Funds Earned During Period,4526752,0.0,4526752.0
10013,Merrimack Valley Regional Transit Authority,Urban,CB,Funds Earned During Period,10227,0.0,10227.0
10013,Merrimack Valley Regional Transit Authority,Urban,DR,Funds Earned During Period,72286,0.0,72286.0
10013,Merrimack Valley Regional Transit Authority,Urban,MB,Funds Earned During Period,478571,0.0,478571.0
10015,Lewiston-Auburn Transit Committee,Urban,DR,Funds Expended on Operations,18093,0.0,18093.0
10015,Lewiston-Auburn Transit Committee,Urban,MB,Funds Expended on Operations,95437,14430.0,109867.0
10016,Greater Portland Transit District,Urban,MB,Funds Earned During Period,1325270,783388.0,2108658.0
10017,Greater Hartford Transit District,Urban,DR,Funds Earned During Period,1065033,0.0,1065033.0
10040,Southeast Area Transit District,Urban,DR,Funds Earned During Period,2713,0.0,2713.0
10040,Southeast Area Transit District,Urban,DR,Funds Earned During Period,9108,0.0,9108.0
10040,Southeast Area Transit District,Urban,MB,Funds Earned During Period,467589,11295.0,478884.0
10042,Valley Transit District,Urban,DR,Funds Earned During Period,44016,110675.0,154691.0
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Urban,CB,Funds Earned During Period,12629,0.0,12629.0
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Urban,MB,Funds Earned During Period,18717,0.0,18717.0
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Urban,MB,Funds Earned During Period,7911358,0.0,7911358.0
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Urban,RB,Funds Earned During Period,727830,0.0,727830.0
10049,Greater New Haven Transit District,Urban,DR,Funds Earned During Period,130004,0.0,130004.0
10050,Greater Bridgeport Transit Authority,Urban,DR,Funds Earned During Period,107730,58009.0,165739.0
10050,Greater Bridgeport Transit Authority,Urban,MB,Funds Earned During Period,1636268,784484.0,2420752.0
10051,Housatonic Area Regional Transit,Urban,DR,Funds Earned During Period,47392,2276.0,49668.0
10051,Housatonic Area Regional Transit,Urban,MB,Funds Earned During Period,319341,0.0,319341.0
10053,Cape Ann Transportation Authority,Urban,DR,Funds Earned During Period,40479,0.0,40479.0
10053,Cape Ann Transportation Authority,Urban,MB,Funds Earned During Period,107916,0.0,107916.0
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Urban,MB,Funds Earned During Period,4868428,0.0,4868428.0
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Urban,MB,Funds Earned During Period,1792384,0.0,1792384.0
10057,Norwalk Transit District,Urban,DR,Funds Earned During Period,81483,0.0,81483.0
10057,Norwalk Transit District,Urban,DR,Funds Earned During Period,55040,0.0,55040.0
10057,Norwalk Transit District,Urban,MB,Funds Earned During Period,847925,0.0,847925.0
10061,Montachusett Regional Transit Authority,Urban,DR,Funds Earned During Period,2085648,0.0,2085648.0
10061,Montachusett Regional Transit Authority,Urban,DR,Funds Earned During Period,54375,0.0,54375.0
10061,Montachusett Regional Transit Authority,Urban,MB,Funds Earned During Period,212542,310675.0,523217.0
10063,Middletown Transit District,Urban,DR,Funds Expended on Operations,5537,21010.0,26547.0
10063,Middletown Transit District,Urban,MB,Funds Expended on Operations,142097,3000.0,145097.0
10064,Greater Attleboro-Taunton Regional Transit Authority,Urban,DR,Funds Earned During Period,377222,104456.0,481678.0
10064,Greater Attleboro-Taunton Regional Transit Authority,Urban,MB,Funds Earned During Period,401762,0.0,401762.0
10066,Green Mountain Transit Authority,Urban,DR,Funds Earned During Period,0,1551263.0,1551263.0
10069,"Regional Transportation Program, Inc.",Urban,DR,Funds Expended on Operations,64457,969063.0,1033520.0
10086,Cooperative Alliance for Seacoast Transportation,Urban,DR,Funds Earned During Period,41304,45766.0,87070.0
10086,Cooperative Alliance for Seacoast Transportation,Urban,MB,Funds Earned During Period,257688,0.0,257688.0
10087,City of Nashua,Urban,DR,Funds Earned During Period,33272,0.0,33272.0
10087,City of Nashua,Urban,MB,Funds Earned During Period,187149,10000.0,197149.0
10088,Casco Bay Island Transit District,Urban,FB,Funds Earned During Period,2650353,0.0,2650353.0
10096,City of Bangor,Urban,DR,Funds Expended on Operations,29676,0.0,29676.0
